XMDUENT,XMDUSITE,XMDUDOCNO,XMDUSEQ,XMDU002,XMDU008,XMDU011
99,DSCTC,CTC-HJD-150100000002,3.0,YS01,PC,10.0
99,DSCTC,CTC-420-150300000001,1.0,YS01,PC,50.0
99,DSCTC,CTC-420-150300000001,2.0,00531m004,PC,20.0
99,DSCNJ,CNJ-P69-201504230001,1.0,00002,EA,11.0
99,DSCNJ,CNJ-HJD-150700000001,1.0,00000,PC,99.0
99,DSCNJ,CNJ-HJD-150700000001,2.0,00002,EA,70.0
99,DSCNJ,CNJ-P69-201512110001,1.0,A016801401001,PC,2.0
99,DSCNJ,CNJ-P69-201511110001,1.0,C013961511001,PC,128.7
99,DSCNJ,CNJ-HJD-151100000002,1.0,00000,PC,110.0
99,DSCNJ,CNJ-HJD-160200000001,1.0,A013961512001,PC,100.0
99,DSCTC,CTC-HJD-140500000001,1.0,00000,CARTON,1000.0
99,DSCNJ,CNJ-HJD-140500000001,1.0,YS01,PC,0.0
99,DSCNJ,CNJ-HJD-140500000001,2.0,YS01,PC,10.0
99,DSCNJ,CNJ-HJD-140500000001,3.0,YS01,PC,11.0
99,DSCNJ,CNJ-HJD-140500000001,4.0,YS01,PC,0.0
99,DSCNJ,CNJ-HJD-140500000002,1.0,YS02,PC,15.0
99,DSCNJ,CNJ-HJD-140500000002,2.0,YS02,PC,0.0
99,DSCTC,CTC-HJ1-140400000002,1.0,A0002,PC,123.0
99,,CTC-ALB-140300000002,1.0,800002,DAL,1.0
99,DSCTC,CTC-HJ1-140400000002,2.0,800041,L,456.0
99,DSCTC,CTC-HJ1-140400000002,3.0,800045,EA,123.0
99,,ALB,1.0,01396-R01,,13.0
99,,ALB,2.0,1E01BKS00000125,,10.0
99,,CTC-ALB-1402000002,1.0,01396-R01,PC,99.0
99,,CTC-ALB-1402000002,2.0,01396-R01,PC,2.0
99,,CNJ-HJD-140400000001,1.0,C016801401001,PC,1000.0
99,DSCTC,CTC-ALB-140400000001,1.0,7,CAL,5555.0
99,DSCTC,CTC-420-140400000003,1.0,2M01ACE000001,PAIR,90.0
99,DSCTC,CTC-420-140400000003,2.0,119110,CAS,888.0
99,,CTC-ALB-1402000007,1.0,SS001,PC,98.0
99,,CTC-ALB-1402000007,2.0,SS001,KPCS,100.0
99,,CTC-ALB-1402000007,3.0,SS001,KPCS,1.0
99,,CNJ-HJD1403000000007,1.0,1E01BKS00000125,PC,0.0
99,,CNJ-HJD1403000000007,2.0,21000-01,PC,0.0
99,,CNJ-HJD1403000000008,1.0,01396-R01,PC,5.0
99,DSCTC,CTC-420-140400000004,1.0,800004,DM,9999.0
99,DSCTC,CTC-420-140400000004,2.0,800043,HM,123.0
99,,CTC-ALB-1402000003,1.0,01396-R01,,0.0
99,,CTC-ALB-1402000003,2.0,01396-R01,,17.0
99,,CTC-ALB-1402000006,1.0,1E01BKS00000125,BAG,0.0
99,,CNJ-HJD-140300000001,1.0,01396-R01,PC,9.0
99,,CNJ-HJ1-140300000001,1.0,01396-R01,PC,5.0
99,,CNJ-HJD-140300000002,-1.0,01396-R01,PC,6.0
99,,CTC-420-140400000001,1.0,119110,ARK,1000.0
99,,CNJ-HJD-140300000004,1.0,01396-R01,PC,5.0
99,,CNJ-HJD-140300000005,1.0,800004,PC,5.0
99,,CTC-420-140400000001,2.0,1E01BKS00000125,BAG,5550.0
99,,CTC-420-140400000002,1.0,201310-001,CAS,10000.0
99,,CTC-420-140400000002,2.0,2M01ACE000001,PAIR,999.0
99,DSCTC,CTC-HJ1-140400000001,1.0,800004,DAG,1.0
99,DSCTC,CTC-HJ1-140400000001,2.0,800040,DM,0.0
99,DSCTC,CTC-420-140400000005,1.0,A0002,PC,123.0
99,DSCTC,CTC-420-140400000005,2.0,800041,L,456.0
99,DSCTC,CTC-420-140400000005,3.0,800045,EA,123.0
99,DSCTC,CNJ-HJD-140300000001,2.0,00002,PC,8.0
99,DSCNJ,CNJ-P69-201501290001,1.0,Z0081201,PC,29.0
99,DSCTC,CTC-420-141200000001,1.0,00002,PC,12.0
99,DSCTC,CTC-420-141200000002,1.0,YS01,PC,10.0
99,DSCNJ,CNJ-HJD-150100000001,1.0,Z0081202,PC,30.0
99,DSCTC,CTC-HJD-140800000001,1.0,YS01,PC,10.0
99,DSCNJ,CNJ-P69-201412180001,1.0,Z0081201,PC,180.0
1,SITE-01,01XM51-1408000001,1.0,040109990019,PC,20.0
99,DSCNJ,CNJ-HJD-140800000001,1.0,YS01,PC,0.0
99,DSCNJ,CNJ-HJD-140800000001,2.0,YS01,PC,10.0
99,DSCNJ,CNJ-HJD-140800000001,3.0,YS01,PC,11.0
99,DSCNJ,CNJ-HJD-140800000001,4.0,YS01,PC,0.0
99,DSCNJ,CNJ-HJD-140800000002,1.0,YS01,PC,0.0
99,DSCNJ,CNJ-HJD-140800000002,2.0,YS01,PC,10.0
99,DSCNJ,CNJ-HJD-140800000002,3.0,YS01,PC,11.0
99,DSCNJ,CNJ-HJD-140800000002,4.0,YS01,PC,0.0
99,DSCTC,CTC-HJD-150100000001,1.0,YS01,PC,20.0
99,DSCTC,CTC-HJD-150100000001,2.0,YS01,PC,20.0
99,DSCTC,CTC-HJD-150100000001,3.0,YS01,PC,20.0
99,DSCTC,CTC-HJD-150100000002,1.0,YS01,PC,10.0
99,DSCTC,CTC-HJD-150100000002,2.0,YS01,PC,10.0
10,JINPAO,JP2101-16080000001,1.0,7131211270101400,PC,200.0
10,JINPAO,JP2108-16090000002,1.0,8021303300100011,PC,520.61
10,JINPAO,JP2108-16090000003,1.0,8021103117800004,PC,472.86
3,JINPAO,JP2101-20161224241,2.0,8021103062900000,PC,5.28
3,JINPAO,JP2101-20161224214,13.0,8021107404300001,PC,0.0
3,JINPAO,JP2101-20161224214,14.0,8021107404400001,PC,0.0
3,JINPAO,JP2101-20161224214,15.0,8021107404500001,PC,0.0
3,JINPAO,JP2101-20161224214,16.0,8021107404600001,PC,0.0
3,JINPAO,JP2101-20161224095,1.0,8021107304500000,PC,242.33
3,JINPAO,JP2101-20161224095,2.0,8121108300800000,PC,10500.0
3,JINPAO,JP2101-20161224095,3.0,8021107300600000,PC,304.48
3,JINPAO,JP2101-20161224095,4.0,8021103165100001,PC,92.0
3,JINPAO,JP2101-20161224095,5.0,8021107300400000,PC,319.27
3,JINPAO,JP2101-20161224096,1.0,8021107302400000,PC,375.31
3,JINPAO,JP2101-20161224096,2.0,8021107304200000,PC,288.27
3,JINPAO,JP2101-20161224096,3.0,8021107301300000,PC,40.79
3,JINPAO,JP2101-20161224096,4.0,8021107304300000,PC,720.53
3,JINPAO,JP2101-20161224096,5.0,8021105300700000,PC,408.41
3,JINPAO,JP2101-20161224097,1.0,8021107301400000,PC,69.19
3,JINPAO,JP2101-20161224097,2.0,8021105301600000,PC,86.32
3,JINPAO,JP2101-20161224097,3.0,8021105301400000,PC,81.03
3,JINPAO,JP2101-20161224097,4.0,8021105301500000,PC,160.0
3,JINPAO,JP2101-20161224097,5.0,8021105302300000,PC,29.07
3,JINPAO,JP2101-20161224098,1.0,8021105301000000,PC,808.57
3,JINPAO,JP2101-20161224098,2.0,8021105301100000,PC,309.04
